! generator: yaml2ck
! cantera-version: 3.2.0
! date: Mon, 14 Sep 2026 13:54:55 +0800
! input-files: ['gas']
!
! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  A REDUCED CHEMICAL MECHANISM FOR CH4/O2 HIGH
! PRESSURE COMBUSTION  !  OBTAINED FROM THE RAMEC KINETIC SCHEME                            !  F. MONNIER AND G. RIBERT,
! CORIA-CNRS, NORMANDIE UNIVERSITE,       !  INSA DE ROUEN NORMANDIE, 76000 ROUEN, FRANCE                      !
! !  F. Monnier and G. Ribert                                          !  Simulation of high-pressure methane-oxygen
! combustion with a      !  new reduced chemical mechanism, Combustion and Flame, 2021        !
! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

H2                 1    38.000     2.920     0.000     0.790   280.000
H                  0   145.000     2.050     0.000     0.000     0.000
O                  0    80.000     2.750     0.000     0.000     0.000
O2                 1   107.400     3.458     0.000     1.600     3.800
OH                 1    80.000     2.750     0.000     0.000     0.000
H2O                2   572.400     2.605     1.844     0.000     4.000
HO2                2   107.400     3.458     0.000     0.000     1.000 ! *
H2O2               2   107.400     3.458     0.000     0.000     3.800
CH3                1   144.000     3.800     0.000     0.000     0.000
CH4                2   141.400     3.746     0.000     2.600    13.000
CO                 1    98.100     3.650     0.000     1.950     1.800
CO2                1   244.000     3.763     0.000     2.650     2.100
HCO                2   498.000     3.590     0.000     0.000     0.000
CH2O               2   498.000     3.590     0.000     0.000     2.000
CH3O               2   417.000     3.690     1.700     0.000     2.000
C2H6               2   247.500     4.350     0.000     0.000     1.500 ! NMM
CH3O2              2   481.800     3.626     1.700     0.000     1.000 ! CH3OH
N2                 1    97.530     3.620     0.000     1.760     4.000
